Model,Accuracy,Precision,Recall,F1-score,CV Mean,CV Std
Logistic Regression,0.8415178571428571,0.4583333333333333,0.15942028985507245,0.23655913978494622,0.8610556947448685,0.009625529736943968
Random Forest,0.8504464285714286,0.5294117647058824,0.2608695652173913,0.34951456310679613,0.8683073715005991,0.007289363311393129
Gradient Boosting,0.8638392857142857,0.6538461538461539,0.2463768115942029,0.3578947368421053,0.8655078507959726,0.01246477589509325
SVM,0.859375,0.6875,0.15942028985507245,0.2588235294117647,0.8632856631549461,0.0076098934916933245
