,accuracy,precision,recall,f1_score,model
Logistic Regression,0.6551724137931034,0.6565656565656566,0.9154929577464789,0.764705882352941,"LogisticRegression(max_iter=1000, random_state=42)"
Random Forest,0.6379310344827587,0.704225352112676,0.704225352112676,0.704225352112676,RandomForestClassifier(random_state=42)
Gradient Boosting,0.5775862068965517,0.6410256410256411,0.704225352112676,0.6711409395973156,GradientBoostingClassifier(random_state=42)
SVM,0.7068965517241379,0.6947368421052632,0.9295774647887324,0.7951807228915663,"SVC(probability=True, random_state=42)"
